0,1,2,3
cities,city,cities,cities
city,different,smart,smart
areas,cities,city,city
environment,areas,sustainable,new
area,area,technologies,social
new,new,new,management
space,method,use,challenges
social,use,management,potential
different,studies,technology,technologies
network,show,social,sustainable
potential,important,system,use
patterns,land,challenges,systems
factors,characteristics,future,technology
method,population,environment,policy
public,patterns,systems,studies
time,provide,environmental,future
significant,factors,including,areas
use,distribution,different,public
level,structure,applications,well
high,public,digital,provides
provide,proposed,intelligence,various
sustainable,significant,science,role
green,human,economic,models
infrastructure,space,infrastructure,environment
characteristics,density,issues,recent
future,network,life,sustainability
road,transportation,public,many
system,pattern,space,digital
well,travel,role,aims
show,types,current,first
